,Bundesland,Landkreis,date,infected,log(infected+1)
3138,Brandenburg,Brandenburg an der Havel Städte,18-03,3.0,1.3862943611198906
3139,Baden-Württemberg,Breisgau-Hochschwarzwald,18-03,100.0,4.61512051684126
3140,Bremen,Bremen Städte,18-03,106.0,4.672828834461906
3141,Baden-Württemberg,Calw,18-03,76.0,4.343805421853684
3142,Niedersachsen,Ammerland,18-03,13.0,2.6390573296152584
3143,Bayern,Cham,18-03,24.0,3.2188758248682006
3144,Nordrhein-Westfalen,Cleves,18-03,69.0,4.248495242049359
3145,Niedersachsen,Aurich,18-03,19.0,2.995732273553991
3146,Bayern,Coburg,18-03,17.0,2.8903717578961645
3147,Bayern,Coburg Städte,18-03,0.0,0.0
3148,Rheinland-Pfalz,Cochem-Zell,18-03,38.0,3.6635616461296463
3149,Nordrhein-Westfalen,Coesfeld,18-03,70.0,4.2626798770413155
3150,Nordrhein-Westfalen,Cologne Städte,18-03,181.0,5.204006687076795
3151,Brandenburg,Cottbus Städte,18-03,17.0,2.8903717578961645
3152,Niedersachsen,Braunschweig Städte,18-03,12.0,2.5649493574615367
3153,Bayern,Dachau,18-03,45.0,3.828641396489095
3154,Brandenburg,Dahme-Spreewald,18-03,12.0,2.5649493574615367
3155,Hessen,Darmstadt Städte,18-03,14.0,2.70805020110221
3156,Hessen,Darmstadt-Dieburg,18-03,17.0,2.8903717578961645
3157,Bayern,Deggendorf,18-03,32.0,3.4965075614664802
3158,Niedersachsen,Celle,18-03,24.0,3.2188758248682006
3159,Bayern,Dillingen,18-03,1.0,0.6931471805599453
3160,Bayern,Dingolfing-Landau,18-03,22.0,3.1354942159291497
3161,Schleswig-Holstein,Dithmarschen,18-03,11.0,2.4849066497880004
3162,Bayern,Donau-Ries,18-03,10.0,2.3978952727983707
3163,Rheinland-Pfalz,Donnersbergkreis,18-03,12.0,2.5649493574615367
3164,Nordrhein-Westfalen,Dortmund Städte,18-03,65.0,4.189654742026425
3165,Nordrhein-Westfalen,Duisburg Städte,18-03,55.0,4.02535169073515
3166,Nordrhein-Westfalen,Düren,18-03,41.0,3.7376696182833684
3167,Nordrhein-Westfalen,Düsseldorf Städte,18-03,155.0,5.049856007249537
3168,Bayern,Ebersberg,18-03,38.0,3.6635616461296463
3169,Thüringen,Eichsfeld,18-03,3.0,1.3862943611198906
3170,Bayern,Eichstätt,18-03,13.0,2.6390573296152584
3171,Brandenburg,Elbe-Elster,18-03,6.0,1.9459101490553132
3172,Niedersachsen,Cloppenburg,18-03,2.0,1.0986122886681098
3173,Baden-Württemberg,Emmendingen,18-03,98.0,4.59511985013459
3174,Niedersachsen,Diepholz,18-03,37.0,3.6375861597263857
3175,Nordrhein-Westfalen,Ennepe-Ruhr,18-03,11.0,2.4849066497880004
3176,Baden-Württemberg,Enz,18-03,20.0,3.044522437723423
3177,Bayern,Erding,18-03,32.0,3.4965075614664802
